iter	Passed	Remaining
1352	34897	3791
1353	34914	3764
1354	34934	3738
1355	34950	3711
1356	34971	3685
1357	34988	3658
1358	35005	3631
1359	35023	3605
1360	35040	3578
1361	35057	3552
1362	35073	3525
1363	35091	3498
1364	35108	3472
1365	35125	3445
1366	35142	3419
1367	35161	3392
1368	35182	3366
1369	35203	3340
1370	35224	3314
1371	35245	3288
1372	35265	3262
1373	35285	3235
1374	35310	3210
1375	35332	3184
1376	35352	3157
1377	35370	3131
1378	35390	3105
1379	35410	3079
1380	35430	3053
1381	35450	3026
1382	35467	3000
1383	35486	2974
1384	35505	2948
1385	35523	2921
1386	35541	2895
1387	35559	2869
1388	35577	2843
1389	35595	2816
1390	35613	2790
1391	35631	2764
1392	35649	2738
1393	35667	2712
1394	35685	2685
1395	35703	2659
1396	35721	2633
1397	35739	2607
1398	35758	2581
1399	35775	2555
1400	35793	2529
1401	35810	2503
1402	35830	2477
1403	35847	2451
1404	35865	2425
1405	35883	2399
1406	35901	2373
1407	35920	2347
1408	35940	2321
1409	35959	2295
1410	35979	2269
1411	36000	2243
1412	36019	2217
1413	36037	2191
1414	36056	2165
1415	36075	2140
1416	36094	2114
1417	36113	2088
1418	36133	2062
1419	36152	2036
1420	36171	2010
1421	36191	1985
1422	36210	1959
1423	36228	1933
1424	36248	1907
1425	36268	1882
1426	36287	1856
1427	36307	1830
1428	36326	1804
1429	36343	1779
1430	36360	1753
1431	36377	1727
1432	36394	1701
1433	36411	1675
1434	36427	1650
1435	36444	1624
1436	36461	1598
1437	36477	1572
1438	36495	1547
1439	36511	1521
1440	36528	1495
1441	36544	1469
1442	36561	1444
1443	36580	1418
1444	36599	1393
1445	36616	1367
1446	36634	1341
1447	36651	1316
1448	36668	1290
1449	36685	1265
1450	36703	1239
1451	36719	1213
1452	36736	1188
1453	36753	1162
1454	36770	1137
1455	36786	1111
1456	36804	1086
1457	36820	1060
1458	36838	1035
1459	36854	1009
1460	36871	984
1461	36888	958
1462	36905	933
1463	36922	907
1464	36939	882
1465	36956	857
1466	36972	831
1467	36989	806
1468	37006	780
1469	37028	755
1470	37045	730
1471	37061	704
1472	37078	679
1473	37095	654
1474	37112	629
1475	37131	603
1476	37150	578
1477	37170	553
1478	37188	528
1479	37205	502
1480	37221	477
1481	37237	452
1482	37255	427
1483	37272	401
1484	37290	376
1485	37309	351
1486	37329	326
1487	37349	301
1488	37368	276
1489	37387	250
1490	37406	225
1491	37426	200
1492	37444	175
1493	37462	150
1494	37480	125
1495	37498	100
1496	37515	75
1497	37532	50
1498	37550	25
1499	37569	0
